"StandardName","Name","Abbreviation","AtomicNumber","AtomicWeight","Block","Group","Period","Series"
"Hydrogen","hydrogen","H",1,1.008,"s",1,1,"Nonmetal"
"Helium","helium","He",2,4.002602,"s",18,1,"NobleGas"
"Lithium","lithium","Li",3,6.94,"s",1,2,"AlkaliMetal"
"Beryllium","beryllium","Be",4,9.0121831,"s",2,2,"AlkalineEarthMetal"
"Boron","boron","B",5,10.81,"p",13,2,"Metalloid"
"Carbon","carbon","C",6,12.011,"p",14,2,"Nonmetal"
"Nitrogen","nitrogen","N",7,14.007,"p",15,2,"Nonmetal"
"Oxygen","oxygen","O",8,15.999,"p",16,2,"Chalcogen"
"Fluorine","fluorine","F",9,18.998403163,"p",17,2,"Halogen"
"Neon","neon","Ne",10,20.1797,"p",18,2,"NobleGas"
"Sodium","sodium","Na",11,22.98976928,"s",1,3,"AlkaliMetal"
"Magnesium","magnesium","Mg",12,24.305,"s",2,3,"AlkalineEarthMetal"
"Aluminum","aluminum","Al",13,26.9815385,"p",13,3,"PoorMetal"
"Silicon","silicon","Si",14,28.085,"p",14,3,"Metalloid"
"Phosphorus","phosphorus","P",15,30.973761998,"p",15,3,"Nonmetal"
"Sulfur","sulfur","S",16,32.06,"p",16,3,"Chalcogen"
"Chlorine","chlorine","Cl",17,35.45,"p",17,3,"Halogen"
"Argon","argon","Ar",18,39.948,"p",18,3,"NobleGas"
"Potassium","potassium","K",19,39.0983,"s",1,4,"AlkaliMetal"
"Calcium","calcium","Ca",20,40.078,"s",2,4,"AlkalineEarthMetal"
"Scandium","scandium","Sc",21,44.955908,"d",3,4,"TransitionMetal"
"Titanium","titanium","Ti",22,47.867,"d",4,4,"TransitionMetal"
"Vanadium","vanadium","V",23,50.9415,"d",5,4,"TransitionMetal"
"Chromium","chromium","Cr",24,51.9961,"d",6,4,"TransitionMetal"
"Manganese","manganese","Mn",25,54.938044,"d",7,4,"TransitionMetal"
"Iron","iron","Fe",26,55.845,"d",8,4,"TransitionMetal"
"Cobalt","cobalt","Co",27,58.933194,"d",9,4,"TransitionMetal"
"Nickel","nickel","Ni",28,58.6934,"d",10,4,"TransitionMetal"
"Copper","copper","Cu",29,63.546,"d",11,4,"TransitionMetal"
"Zinc","zinc","Zn",30,65.38,"d",12,4,"TransitionMetal"
"Gallium","gallium","Ga",31,69.723,"p",13,4,"PoorMetal"
"Germanium","germanium","Ge",32,72.63,"p",14,4,"Metalloid"
"Arsenic","arsenic","As",33,74.921595,"p",15,4,"Metalloid"
"Selenium","selenium","Se",34,78.971,"p",16,4,"Chalcogen"
"Bromine","bromine","Br",35,79.904,"p",17,4,"Halogen"
"Krypton","krypton","Kr",36,83.798,"p",18,4,"NobleGas"
"Rubidium","rubidium","Rb",37,85.4678,"s",1,5,"AlkaliMetal"
"Strontium","strontium","Sr",38,87.62,"s",2,5,"AlkalineEarthMetal"
"Yttrium","yttrium","Y",39,88.90584,"d",3,5,"TransitionMetal"
"Zirconium","zirconium","Zr",40,91.224,"d",4,5,"TransitionMetal"
"Niobium","niobium","Nb",41,92.90637,"d",5,5,"TransitionMetal"
"Molybdenum","molybdenum","Mo",42,95.95,"d",6,5,"TransitionMetal"
"Technetium","technetium","Tc",43,97.0,"d",7,5,"TransitionMetal"
"Ruthenium","ruthenium","Ru",44,101.07,"d",8,5,"TransitionMetal"
"Rhodium","rhodium","Rh",45,102.9055,"d",9,5,"TransitionMetal"
"Palladium","palladium","Pd",46,106.42,"d",10,5,"TransitionMetal"
"Silver","silver","Ag",47,107.8682,"d",11,5,"TransitionMetal"
"Cadmium","cadmium","Cd",48,112.414,"d",12,5,"TransitionMetal"
"Indium","indium","In",49,114.818,"p",13,5,"PoorMetal"
"Tin","tin","Sn",50,118.71,"p",14,5,"PoorMetal"
"Antimony","antimony","Sb",51,121.76,"p",15,5,"Metalloid"
"Tellurium","tellurium","Te",52,127.6,"p",16,5,"Chalcogen"
